selected_variables.Longitude,selected_variables.Latitude
145.275215,-37.838651
145.034862,-37.845592
142.02202,-37.749547
144.976563,-38.325920000000004
144.287758,-38.343206
145.088324,-37.613154
145.092277,-37.746051
145.005077,-37.948929
145.099275,-37.891297
138.486668,-34.920019
145.2229,-37.838025
144.894547,-37.84777
138.628182,-34.89482
144.599575,-37.452351
145.363022,-37.784766
138.84132,-35.172184
144.207179,-37.069438
138.223778,-35.411329
144.701191,-37.067787
138.508243,-35.121251
138.518617,-34.851294
144.302063,-36.759113
144.872948,-38.363453
144.390883,-38.158111
145.114503,-38.190278
138.598081,-34.951342
144.937819,-37.771244
142.52868,-36.949269
145.303191,-40.762217
145.103255,-37.626349
138.479523,-34.837739
144.2834,-37.027688
143.392252,-36.368583
145.115062,-37.892418
138.697565,-34.828608
138.595664,-35.015916
144.59192,-37.492825
145.28153,-37.766905
138.555369,-35.189516
144.274681,-37.814375
145.257248,-37.988495
144.070502,-37.629549
138.88457,-35.070531
144.987637,-37.920165
144.65732,-38.2701
144.655975,-37.429645
144.825101,-37.734244
145.096842,-37.833386
144.589234,-37.387608
138.631988,-34.986167
138.311991,-35.444079
144.413124,-36.255027
145.057389,-37.717808
144.814638,-37.780421
138.559227,-35.253079
138.630822,-34.848019
144.76645,-37.667263
145.303446,-37.822271
145.320904,-38.0269
144.359236,-38.005871
145.044189,-37.759755
144.105408,-37.571341
139.440805,-34.522279
144.944644,-37.790334
143.749863,-37.816847
138.554253,-35.109905
145.275515,-38.041757
138.471462,-35.227524
144.951226,-37.78278
145.238587,-37.642692
144.696382,-38.125427
145.217888,-37.808354
144.904952,-37.827817
144.545551,-37.573045
145.022858,-38.370363
144.59824,-37.470788
144.810504,-37.870046
138.070878,-32.750817
144.771472,-38.357984
145.263652,-37.850458
144.586435,-37.483386
145.514167,-36.916112
145.329147,-42.158791
144.731003,-37.843034
138.615335,-34.984852
144.176217,-38.404918
144.088552,-37.633361
144.986196,-37.818126
141.47145,-31.977803
144.45337,-38.22558
144.58296,-38.23653
145.134566,-37.880262
145.104839,-37.855387
145.336799,-37.902375
144.993343,-37.758766
145.052721,-37.966035
145.017192,-37.845198
145.281433,-37.816395
145.034409,-37.804575
138.608903,-34.889068
144.960974,-37.798346
138.515597,-34.885574
140.345506,-36.087178
145.4761,-38.5498
144.933602,-37.785066
144.315302,-38.345008
144.300784,-38.163997
142.637054,-38.327495
145.499091,-37.929649
145.307806,-37.904558
144.937731,-37.753491
138.587022,-34.981275
144.61293,-37.511787
145.01397,-37.70655
145.239625,-37.956032
138.511907,-34.817435
138.909382,-35.038412
145.127261,-38.17533
145.295586,-37.850516
138.697127,-34.915909
138.656512,-34.834486
145.193866,-37.819327
145.663428,-37.746136
138.694116,-35.353315
145.210246,-37.638173
144.370402,-36.855952
145.327113,-37.91303
145.131758,-38.036925
143.883072,-37.646229
145.17021,-38.311876
144.188532,-38.331042
145.320414,-42.148684
145.349217,-37.875544
144.145617,-37.330172
144.896461,-37.808646
144.343689,-38.081347
143.685666,-38.705491
145.104397,-37.993774
138.691725,-34.904933
141.344847,-34.701646
144.954513,-37.811497
145.426657,-37.904231
138.674401,-34.950339
145.072181,-37.679369
138.612909,-34.903002
145.029922,-37.866013
145.644027,-37.630677
142.911326,-38.238879
144.502929,-37.376006
138.528735,-34.909363
138.614,-34.873
145.126756,-37.696147
142.290628,-37.874193
144.83778,-38.378855
144.31542,-36.75992
144.983954,-37.87086
143.808648,-37.583251
145.009701,-37.695644
145.069514,-37.826296
138.679901,-34.91004
145.133423,-37.983387
138.7149,-34.84544
138.633988,-34.906674
138.503901,-34.976825
143.515869,-37.613366
145.11946,-38.069892
145.584747,-38.256172
145.0616,-37.86158
138.547779,-35.075518
145.22197,-37.797717
143.87633,-37.62351
143.89934,-37.6995
144.16372,-37.5116
145.19887,-38.13602
144.84445,-38.43321
145.32282,-37.5577
144.87524,-38.4614
145.2299,-38.19835
145.40196,-37.98418
145.15448,-37.81835
144.37632,-37.59017
145.07027,-38.25766
144.66314,-37.94479
145.40268,-38.21721
145.14718,-37.70107
144.94522,-38.43666
144.77541,-38.3807
145.03195,-37.98308
143.07997,-37.81904
144.20833,-37.8319
142.39301,-37.15685
144.70288,-38.3179
144.54806,-38.27306
144.64207,-37.23252
145.60622,-38.60243
142.49301,-36.95685
144.62037,-37.61141
145.01842,-38.48298
144.259,-37.3412
144.82883,-38.4146
144.69105,-37.41366
144.16639,-37.8617
145.2229,-38.14585
144.53817,-37.49348
144.55967,-38.24017
145.00751,-37.83397
145.32234,-38.16361
145.08098,-38.28487
142.50234,-37.45499
142.02697,-38.31961
145.04299,-38.2735
144.92844,-38.3823
143.90486,-38.37101
144.50966,-37.70683
143.30541,-38.29805
145.37631,-37.62349
145.36574,-37.81123
145.61858,-38.32006
144.81797,-38.41121
145.13595,-36.78159
144.52776,-38.24838
145.20966,-38.34016
145.1333,-37.71167
145.53436,-38.44428
144.887666,-38.492773
145.168717,-38.147064
144.3572,-37.22044
142.98612,-36.3705
145.04851,-38.21675
142.36885,-38.31161
143.85721,-37.9433
142.10493,-34.22246
144.00967,-37.87351
142.74211,-38.37604
144.45329,-37.17055
144.70046,-38.20684
145.17632,-38.25683
145.55197,-38.15738
145.09837,-38.4017
144.8046,-37.6653
145.01568,-37.91071
144.79603,-38.3948
145.12823,-38.19003
144.15475,-38.3468
145.67752,-38.04091
145.1034,-37.68325
145.39515,-38.17423
142.24429,-38.38509
145.67762,-38.05243
145.29299,-38.45683
145.0567,-36.00784
145.39504,-38.006
144.70545,-37.84281
145.04467,-37.71744
145.35964,-37.62349
144.76711,-37.82601
145.43471,-38.1915
144.20966,-37.79017
143.35654,-37.72822
