selected_variables.Longitude,selected_variables.Latitude
-122.304132,46.839247
-123.28025,50.573871
-111.439359,40.540942
-121.743697,38.5176
-123.220411,48.935582
-124.173764,48.452352
-124.109551,48.434262
-106.293985,53.979961
-112.005142,43.772858
-123.540358,48.93525
-122.751594,43.938864
-114.079318,51.079769
-123.999623,44.973973
-122.66761,47.483398
-124.983833,49.607773
-123.106629,55.245162
-121.213516,40.312919
-125.219986,50.261044
-127.174134,50.612771
-121.718786,38.587559
-124.209584,49.314239
-122.792671,43.819874
-123.549622,48.473133
-114.565383,51.408406
-112.862809,49.638653
-126.833935,50.546355
-121.702628,38.590472
-124.178313,49.781967
-118.267207,46.076831
-123.253545,44.533828
-123.499345,48.402267
-123.733776,39.298383
-127.08624,50.591933
-122.818112,43.926892
-123.287153,48.841673
-135.401022,57.097806
-122.952473,50.14457
-114.070846,51.048615
-121.738858,38.058635
-128.789017,53.696537
-123.257058,49.336803
-125.100278,49.849722
-122.9767,50.494331
-135.389125,56.965519
-113.992058,50.873825
-123.849392,45.470731
-125.322328,50.260702
-128.237169,50.810518
-121.710345,38.647803
-120.474009,37.344937
-126.485738,50.735885
-130.293253,54.330989
-122.760066,38.452738
-125.785172,49.065086
-122.09646,49.127541
-124.037986,41.499296
-123.886127,49.124205
-147.716389,64.837778
-123.322599,48.862395
-123.45962,48.390365
-122.65344,45.479334
-122.743099,45.806801
-123.069077,40.488247
-123.921937,49.190228
-111.680461,40.198729
-123.900863,45.710934
-112.918297,49.810632
-126.441222,49.47078
-121.616103,37.85793
-135.32111,57.009038
-156.669489,58.678867
-122.958716,48.686341
-116.856127,44.974945
-121.616596,38.55627
-105.865912,55.715969
-121.139875,45.606575
-123.582122,42.59155
-111.69995,41.76245
-126.466501,49.389025
-152.411259,57.787028
-111.900672,50.667945
-116.144366,43.462255
-121.614863,38.520323
-116.714126,43.425142
-122.907947,48.713859
-119.993423,39.524173
-128.524337,52.643243
-124.148017,42.150433
-135.734637,57.167425
-134.787745,58.494469
-122.661841,39.020069
-116.871635,43.718008
-109.26901,46.859786
-135.400669,56.908625
-135.358803,57.047973
-125.30275,50.25483
-111.773575,41.741362
-112.863425,49.674226
-113.933525,46.880253
-123.2813,48.451264
-122.651158,38.452458
-121.647622,39.476772
-133.546001,55.665204
-124.681825,49.815042
-124.083243,41.80199
-123.471911,48.928509
-124.398469,48.51816
-119.262151,46.309463
-122.130449,47.960463
-123.241266,44.545424
-124.761687,49.979839
-122.152786,47.972176
-121.546272,38.187622
-123.561387,48.949603
-123.95902,44.629143
-107.569418,45.753304
-114.320042,62.518858
-123.587726,42.581881
-122.876412,49.301712
-135.356742,57.024869
-106.150862,53.903041
-121.465275,38.594785
-125.455231,48.943439
-118.77352,45.677614
-124.263344,54.414883
-124.119103,43.548675
-122.825142,45.39682
-111.26764,42.2227
-129.183254,53.102291
-122.642384,49.333856
-125.051933,48.719998
-125.968456,49.1705
-124.028468,49.639317
-124.412878,43.119612
-141.74475,64.200131
-119.91896,39.327493
-122.688649,48.553876
-124.494445,48.544825
-122.437856,41.590575
-123.381886,43.301512
-118.854617,43.067326
-111.987305,41.227162
-125.297157,50.03264
-128.799815,53.221035
-123.47661,48.548373
-123.635658,48.760569
-124.026154,49.622868
-110.977778,45.707289
-131.79605,55.471205
-128.100081,50.477291
-115.062578,51.094218
-111.991006,41.209781
-107.301115,45.389558
-126.930098,50.587413
-135.369203,57.134112
-113.46951,42.678007
-110.896837,53.366947
-111.622267,50.833572
-124.1591,41.390672
-113.61628,47.440953
-121.710989,38.861651
-120.599736,37.272976
-116.974696,46.738838
-119.377478,46.226604
-123.91681,49.511987
-161.090483,60.517238
-121.84608,46.441542
-123.301108,48.424148
-135.384993,56.840804
-116.22809,43.61472
-121.32133,44.060445
-124.441495,48.525601
-123.43923,48.576183
-122.267722,47.419670000000004
-121.338858,44.10085
-122.656755,49.095785
-122.050468,47.83382
-124.091293,49.287891
-123.715488,49.438826
-117.721751,47.139835
-106.603236,52.173709
-124.106611,41.015186
-114.702502,51.112512
-122.482602,44.79341
-125.192772,50.089191
-122.529144,47.602459
-125.038086,49.020564
-116.296763,43.666117
